Borough,Block,Lot
4,1879,49
4,1366,76
4,34,47
4,10528,22
4,6954,41
4,11758,36
4,10651,62
4,1340,161
4,3089,11
4,9005,33
4,661,26
4,11404,67
4,10239,60
4,7254,34
4,11144,153
4,11744,33
4,3853,98
4,16203,23
4,2726,2
4,2693,121
4,12569,68
4,13712,92
4,10589,59
4,14064,10
4,872,15
4,5118,10
4,2854,21
4,2942,74
4,6304,12
4,2374,175
4,13481,26
4,11974,3
4,3029,166
4,4951,64
4,10522,49
4,12966,2
4,14244,1332
4,11809,37
4,1144,24
4,11325,24
4,13688,141
4,3575,10
4,12864,37
4,10531,8
4,1766,5
4,12714,37
4,11657,29
4,13494,55
4,1134,73
4,793,45
1,1545,52
1,723,7501
1,1680,48
1,1385,32
1,1197,27
1,236,16
1,837,66
1,196,1
1,2224,13
1,1127,52
1,1165,56
1,2174,105
1,912,56
1,792,36
1,1211,43
1,1124,16
1,904,33
1,1009,9
1,2062,45
1,2063,5
1,894,8
1,572,7502
1,440,7
1,1947,8
1,883,58
1,2081,144
1,2161,120
1,857,18
1,883,19
1,2041,9
1,2075,61
1,1406,27
1,1185,75
1,606,29
1,1869,33
1,218,24
1,552,64
1,2124,35
1,1378,14
1,801,55
1,1376,42
1,908,1
1,1907,155
1,1046,27
1,1806,26
1,274,6
1,520,28
1,1773,15
1,1872,60
1,1219,13
